====================================================================================================
Optimizer       | Alpha  | C     | LR     | Avg MSE         | Avg Time (ms)  
Projected GD    | 25.0   | 0.2   | 0.0500 | 44.2774         | 104.17         
Projected GD    | 25.0   | 0.5   | 0.0010 | 38.2686         | 103.75         
Projected GD    | 25.0   | 0.5   | 0.0050 | 33.7000         | 103.52         
Projected GD    | 25.0   | 0.5   | 0.0100 | 32.4051         | 103.81         
Projected GD    | 25.0   | 0.5   | 0.0500 | 30.3988         | 103.84         
Projected GD    | 25.0   | 0.8   | 0.0010 | 65.0939         | 104.35         
Projected GD    | 25.0   | 0.8   | 0.0050 | 58.5348         | 106.37         
Projected GD    | 25.0   | 0.8   | 0.0100 | 56.6474         | 106.32         
Projected GD    | 25.0   | 0.8   | 0.0500 | 52.9207         | 104.48         
Projected GD    | 50.0   | 0.2   | 0.0010 | 81.2664         | 104.84         
Projected GD    | 50.0   | 0.2   | 0.0050 | 72.6953         | 105.43         
Projected GD    | 50.0   | 0.2   | 0.0100 | 68.4950         | 104.29         
Projected GD    | 50.0   | 0.2   | 0.0500 | 60.3653         | 104.95         
Projected GD    | 50.0   | 0.5   | 0.0010 | 56.8669         | 106.51         
Projected GD    | 50.0   | 0.5   | 0.0050 | 49.1618         | 105.96         
Projected GD    | 50.0   | 0.5   | 0.0100 | 46.6476         | 104.67         
Projected GD    | 50.0   | 0.5   | 0.0500 | 45.3556         | 106.79         
Projected GD    | 50.0   | 0.8   | 0.0010 | 84.2995         | 104.91         
Projected GD    | 50.0   | 0.8   | 0.0050 | 78.6239         | 105.20         
Projected GD    | 50.0   | 0.8   | 0.0100 | 76.1867         | 105.08         
Projected GD    | 50.0   | 0.8   | 0.0500 | 70.9252         | 103.77         
Stochastic GD   | 1.0    | 0.2   | 0.0010 | 68.0268         | 191.44         
Stochastic GD   | 1.0    | 0.2   | 0.0050 | 66.3046         | 190.72         
Stochastic GD   | 1.0    | 0.2   | 0.0100 | 66.2739         | 194.18         
Stochastic GD   | 1.0    | 0.2   | 0.0500 | 66.2724         | 190.42         
Stochastic GD   | 1.0    | 0.5   | 0.0010 | 66.9533         | 193.72         
Stochastic GD   | 1.0    | 0.5   | 0.0050 | 65.0277         | 194.35         
Stochastic GD   | 1.0    | 0.5   | 0.0100 | 64.9916         | 195.12         
Stochastic GD   | 1.0    | 0.5   | 0.0500 | 64.9926         | 194.83         
Stochastic GD   | 1.0    | 0.8   | 0.0010 | 67.5105         | 195.37         
Stochastic GD   | 1.0    | 0.8   | 0.0050 | 65.6812         | 190.69         
Stochastic GD   | 1.0    | 0.8   | 0.0100 | 65.6545         | 192.08         
Stochastic GD   | 1.0    | 0.8   | 0.0500 | 65.6537         | 193.91         
Stochastic GD   | 10.0   | 0.2   | 0.0010 | 44.3813         | 189.98         
Stochastic GD   | 10.0   | 0.2   | 0.0050 | 42.4862         | 193.68         
Stochastic GD   | 10.0   | 0.2   | 0.0100 | 42.2856         | 194.39         
Stochastic GD   | 10.0   | 0.2   | 0.0500 | 42.2073         | 193.13         
Stochastic GD   | 10.0   | 0.5   | 0.0010 | 35.4258         | 192.33         
Stochastic GD   | 10.0   | 0.5   | 0.0050 | 34.9727         | 190.99         
Stochastic GD   | 10.0   | 0.5   | 0.0100 | 34.9670         | 192.05         
Stochastic GD   | 10.0   | 0.5   | 0.0500 | 35.0131         | 190.65         
Stochastic GD   | 10.0   | 0.8   | 0.0010 | 51.1447         | 192.53         
Stochastic GD   | 10.0   | 0.8   | 0.0050 | 48.9590         | 189.07         
Stochastic GD   | 10.0   | 0.8   | 0.0100 | 48.6886         | 193.01         
Stochastic GD   | 10.0   | 0.8   | 0.0500 | 48.6203         | 189.97         
Stochastic GD   | 25.0   | 0.2   | 0.0010 | 56.5033         | 192.24         
Stochastic GD   | 25.0   | 0.2   | 0.0050 | 49.5194         | 191.82         
Stochastic GD   | 25.0   | 0.2   | 0.0100 | 47.6264         | 193.56         
Stochastic GD   | 25.0   | 0.2   | 0.0500 | 44.4367         | 191.96         
Stochastic GD   | 25.0   | 0.5   | 0.0010 | 38.6244         | 194.69         
Stochastic GD   | 25.0   | 0.5   | 0.0050 | 33.9225         | 192.47         
