n,alpha,c,seed,algo,loss,time,lr,iters,mse
10,5.0,0.8,1,gd,0.003235037438571453,0.10113978385925293,0.005,500,0.0003235037438571453
10,20.0,0.95,0,gd,3.139132954584203e-16,0.21906018257141113,0.001,1000,3.1391329545842027e-17
10,20.0,0.5,0,gd,2.060966686201482e-08,0.22525334358215332,0.005,1000,2.060966686201482e-09
10,1.0,0.2,1,gd,0.9727274775505066,0.21531152725219727,0.005,1000,0.09727274775505065
10,20.0,0.8,0,gd,1.266416035624121e-13,0.22419953346252441,0.01,1000,1.266416035624121e-14
10,10.0,0.2,1,gd,0.005563207436352968,0.10009384155273438,0.01,500,0.0005563207436352968
10,1.0,0.8,1,gd,0.9611582159996033,0.22139787673950195,0.01,1000,0.09611582159996032
10,10.0,0.5,1,gd,0.00044794255518354475,0.09723973274230957,0.005,500,4.479425551835447e-05
10,1.0,0.5,1,gd,1.4253698587417603,0.22709941864013672,0.001,1000,0.14253698587417601
10,10.0,0.5,1,gd,0.00044794255518354475,0.09446096420288086,0.01,500,4.479425551835447e-05
10,1.0,0.5,1,gd,1.4253698587417603,0.22694683074951172,0.01,1000,0.14253698587417601
10,5.0,0.95,1,gd,0.0007357326103374362,0.09642457962036133,0.01,500,7.357326103374362e-05
10,20.0,0.5,1,gd,2.060966686201482e-08,0.09018659591674805,0.001,500,2.060966686201482e-09
10,10.0,0.5,1,gd,0.00044794255518354475,0.10930013656616211,0.001,500,4.479425551835447e-05
10,1.0,0.95,1,gd,0.7777673602104187,0.2277987003326416,0.01,1000,0.07777673602104188
10,5.0,0.2,1,gd,0.1805623322725296,0.22362709045410156,0.001,1000,0.01805623322725296
10,10.0,0.8,1,gd,1.1245971336393268e-06,0.08778142929077148,0.01,500,1.1245971336393268e-07
10,5.0,0.2,1,gd,0.025035550817847252,0.22847366333007812,0.005,1000,0.002503555081784725
10,5.0,0.2,1,gd,0.011614806950092316,0.2285141944885254,0.01,1000,0.0011614806950092315
10,10.0,0.2,1,gd,0.08211705833673477,0.10276436805725098,0.001,500,0.008211705833673477
10,10.0,0.95,0,gd,5.601957653311729e-08,0.22780871391296387,0.005,1000,5.6019576533117285e-09
10,10.0,0.8,1,gd,1.1245971336393268e-06,0.11187624931335449,0.005,500,1.1245971336393268e-07
10,20.0,0.2,1,gd,0.0027594442944973707,0.09091019630432129,0.005,500,0.0002759444294497371
10,10.0,0.95,1,gd,5.601957653311729e-08,0.10430407524108887,0.001,500,5.6019576533117285e-09
10,10.0,0.95,1,gd,5.601957653311729e-08,0.10899519920349121,0.005,500,5.6019576533117285e-09
10,10.0,0.2,1,gd,0.011804983019828796,0.14295291900634766,0.005,500,0.0011804983019828796
10,1.0,0.8,1,gd,0.9611582159996033,0.21399188041687012,0.001,1000,0.09611582159996032
10,10.0,0.95,1,gd,5.601957653311729e-08,0.1086423397064209,0.01,500,5.6019576533117285e-09
10,20.0,0.2,1,gd,0.017842618748545647,0.10831880569458008,0.001,500,0.0017842618748545648
10,5.0,0.5,1,gd,0.05754463002085686,0.20679688453674316,0.01,1000,0.005754463002085685
10,20.0,0.5,1,gd,2.060966686201482e-08,0.09481406211853027,0.01,500,2.060966686201482e-09
10,5.0,0.5,1,gd,0.05754463002085686,0.2191472053527832,0.005,1000,0.005754463002085685
10,20.0,0.2,1,gd,0.0013263277942314744,0.10926342010498047,0.01,500,0.00013263277942314743
10,5.0,0.8,1,gd,0.003235037438571453,0.19381499290466309,0.005,1000,0.0003235037438571453
10,20.0,0.8,1,gd,1.266416035624121e-13,0.09577202796936035,0.001,500,1.266416035624121e-14
10,5.0,0.8,1,gd,0.003235037438571453,0.2103426456451416,0.001,1000,0.0003235037438571453
10,20.0,0.5,1,gd,2.060966686201482e-08,0.10871315002441406,0.005,500,2.060966686201482e-09
10,20.0,0.95,1,gd,3.139132954584203e-16,0.09150481224060059,0.01,500,3.1391329545842027e-17
10,20.0,0.95,1,gd,3.139132954584203e-16,0.09432768821716309,0.005,500,3.1391329545842027e-17
10,1.0,0.2,2,gd,1.638027310371399,0.08987855911254883,0.005,500,0.16380273103713988
10,5.0,0.8,1,gd,0.003235037438571453,0.19511747360229492,0.01,1000,0.0003235037438571453
10,1.0,0.2,2,gd,2.6711013317108154,0.09858131408691406,0.001,500,0.26711013317108157
10,20.0,0.95,1,gd,3.139132954584203e-16,0.10604739189147949,0.001,500,3.1391329545842027e-17
10,20.0,0.8,1,gd,1.266416035624121e-13,0.11057782173156738,0.005,500,1.266416035624121e-14
10,20.0,0.8,1,gd,1.266416035624121e-13,0.10842514038085938,0.01,500,1.266416035624121e-14
10,5.0,0.95,1,gd,0.0007357326103374362,0.20023822784423828,0.001,1000,7.357326103374362e-05
10,10.0,0.5,1,gd,0.00044794255518354475,0.17249393463134766,0.01,1000,4.479425551835447e-05
10,5.0,0.95,1,gd,0.0007357326103374362,0.20294666290283203,0.005,1000,7.357326103374362e-05
10,1.0,0.5,2,gd,1.4253698587417603,0.10651779174804688,0.001,500,0.14253698587417601
10,1.0,0.5,2,gd,1.4253698587417603,0.10161352157592773,0.01,500,0.14253698587417601
10,10.0,0.5,1,gd,0.00044794255518354475,0.18859386444091797,0.005,1000,4.479425551835447e-05
10,1.0,0.8,2,gd,0.9611582159996033,0.09715676307678223,0.01,500,0.09611582159996032
10,1.0,0.8,2,gd,0.9611582159996033,0.10556316375732422,0.001,500,0.09611582159996032
10,10.0,0.2,1,gd,0.03395486995577812,0.20348691940307617,0.001,1000,0.003395486995577812
10,10.0,0.5,1,gd,0.00044794255518354475,0.19823455810546875,0.001,1000,4.479425551835447e-05
10,1.0,0.5,2,gd,1.4253698587417603,0.11128425598144531,0.005,500,0.14253698587417601
10,10.0,0.2,1,gd,0.005578598473221064,0.20467519760131836,0.005,1000,0.0005578598473221063
10,10.0,0.8,1,gd,1.1245971336393268e-06,0.185821533203125,0.001,1000,1.1245971336393268e-07
